Start_Hour,End_Hour,Source,Day_of_Year,Day_Name,Month_Name,Season
3,4,Wind,350,Friday,December,Winter
10,11,Wind,350,Friday,December,Winter
5,6,Wind,350,Friday,December,Winter
1,2,Wind,350,Friday,December,Winter
4,5,Wind,350,Friday,December,Winter
0,1,Wind,350,Friday,December,Winter
2,3,Wind,350,Friday,December,Winter
7,8,Wind,350,Friday,December,Winter
8,9,Wind,350,Friday,December,Winter
21,22,Wind,350,Friday,December,Winter
9,10,Wind,350,Friday,December,Winter
16,17,Wind,350,Friday,December,Winter
12,13,Solar,351,Saturday,December,Winter
2,3,Wind,351,Saturday,December,Winter
20,21,Wind,351,Saturday,December,Winter
10,11,Wind,351,Saturday,December,Winter
22,23,Wind,351,Saturday,December,Winter
7,8,Wind,351,Saturday,December,Winter
9,10,Wind,351,Saturday,December,Winter
21,22,Wind,351,Saturday,December,Winter
1,2,Wind,351,Saturday,December,Winter
11,12,Solar,351,Saturday,December,Winter
19,20,Wind,351,Saturday,December,Winter
6,7,Wind,351,Saturday,December,Winter
8,9,Wind,351,Saturday,December,Winter
0,1,Wind,351,Saturday,December,Winter
18,19,Wind,351,Saturday,December,Winter
17,18,Wind,351,Saturday,December,Winter
15,16,Wind,351,Saturday,December,Winter
16,17,Wind,351,Saturday,December,Winter
14,15,Solar,351,Saturday,December,Winter
23,0,Wind,351,Saturday,December,Winter
13,14,Solar,351,Saturday,December,Winter
5,6,Wind,351,Saturday,December,Winter
3,4,Wind,351,Saturday,December,Winter
4,5,Wind,351,Saturday,December,Winter
0,1,Wind,352,Sunday,December,Winter
9,10,Wind,352,Sunday,December,Winter
6,7,Wind,352,Sunday,December,Winter
8,9,Wind,352,Sunday,December,Winter
4,5,Wind,352,Sunday,December,Winter
13,14,Wind,352,Sunday,December,Winter
14,15,Wind,352,Sunday,December,Winter
5,6,Wind,352,Sunday,December,Winter
3,4,Wind,352,Sunday,December,Winter
21,22,Wind,352,Sunday,December,Winter
12,13,Wind,352,Sunday,December,Winter
11,12,Wind,352,Sunday,December,Winter
1,2,Wind,352,Sunday,December,Winter
20,21,Wind,352,Sunday,December,Winter
22,23,Wind,352,Sunday,December,Winter
16,17,Wind,352,Sunday,December,Winter
19,20,Wind,352,Sunday,December,Winter
18,19,Wind,352,Sunday,December,Winter
10,11,Wind,352,Sunday,December,Winter
2,3,Wind,352,Sunday,December,Winter
15,16,Wind,352,Sunday,December,Winter
17,18,Wind,352,Sunday,December,Winter
23,0,Wind,352,Sunday,December,Winter
7,8,Wind,352,Sunday,December,Winter
17,18,Wind,353,Monday,December,Winter
9,10,Wind,353,Monday,December,Winter
