Date,Day_Name,Day_of_Year,End_Hour,Month_Name,Production,Season,Source,Start_Hour
1/1/2020,Wednesday,1,14,January,2179,Winter,Solar,13
1/1/2020,Wednesday,1,15,January,1783,Winter,Solar,14
1/1/2020,Wednesday,1,8,January,2077,Winter,Wind,7
1/1/2020,Wednesday,1,19,January,1077,Winter,Wind,18
1/1/2020,Wednesday,1,5,January,2708,Winter,Wind,4
1/1/2020,Wednesday,1,4,January,2761,Winter,Wind,3
1/1/2020,Wednesday,1,1,January,3542,Winter,Wind,0
1/1/2020,Wednesday,1,2,January,2932,Winter,Wind,1
1/1/2020,Wednesday,1,6,January,2583,Winter,Wind,5
1/1/2020,Wednesday,1,17,January,1000,Winter,Wind,16
1/1/2020,Wednesday,1,9,January,1831,Winter,Wind,8
1/1/2020,Wednesday,1,16,January,1323,Winter,Wind,15
1/1/2020,Wednesday,1,0,January,1194,Winter,Wind,23
1/1/2020,Wednesday,1,23,January,1163,Winter,Wind,22
1/1/2020,Wednesday,1,13,January,2544,Winter,Solar,12
1/1/2020,Wednesday,1,18,January,950,Winter,Wind,17
1/1/2020,Wednesday,1,3,January,2725,Winter,Wind,2
1/1/2020,Wednesday,1,11,January,2308,Winter,Wind,10
1/1/2020,Wednesday,1,10,January,1955,Winter,Wind,9
1/1/2020,Wednesday,1,12,January,2617,Winter,Wind,11
1/1/2020,Wednesday,1,20,January,1181,Winter,Wind,19
1/1/2020,Wednesday,1,7,January,2293,Winter,Wind,6
1/1/2020,Wednesday,1,21,January,1268,Winter,Wind,20
1/1/2020,Wednesday,1,22,January,1228,Winter,Wind,21
1/2/2020,Thursday,2,7,January,1907,Winter,Wind,6
1/2/2020,Thursday,2,16,January,4104,Winter,Wind,15
1/2/2020,Thursday,2,23,January,6776,Winter,Wind,22
1/2/2020,Thursday,2,3,January,1444,Winter,Wind,2
1/2/2020,Thursday,2,4,January,1562,Winter,Wind,3
1/2/2020,Thursday,2,12,January,3834,Winter,Wind,11
1/2/2020,Thursday,2,13,January,4169,Winter,Wind,12
1/2/2020,Thursday,2,14,January,4138,Winter,Wind,13
1/2/2020,Thursday,2,19,January,5346,Winter,Wind,18
1/2/2020,Thursday,2,20,January,5977,Winter,Wind,19
1/2/2020,Thursday,2,2,January,1377,Winter,Wind,1
1/2/2020,Thursday,2,10,January,2813,Winter,Wind,9
1/2/2020,Thursday,2,9,January,2281,Winter,Wind,8
1/2/2020,Thursday,2,6,January,1775,Winter,Wind,5
1/2/2020,Thursday,2,5,January,1615,Winter,Wind,4
1/2/2020,Thursday,2,1,January,1267,Winter,Wind,0
1/2/2020,Thursday,2,17,January,4298,Winter,Wind,16
1/2/2020,Thursday,2,0,January,6857,Winter,Wind,23
1/2/2020,Thursday,2,11,January,3497,Winter,Wind,10
1/2/2020,Thursday,2,22,January,6813,Winter,Wind,21
1/2/2020,Thursday,2,21,January,6560,Winter,Wind,20
1/2/2020,Thursday,2,18,January,4745,Winter,Wind,17
1/2/2020,Thursday,2,8,January,2091,Winter,Wind,7
