Date,Day_Name,Day_of_Year,End_Hour,Month_Name,Season,Source,Start_Hour,Production
7/11/2022,Monday,192,21,July,Summer,Wind,20,3116
1/5/2021,Tuesday,5,0,January,Winter,Wind,23,1519
9/16/2020,Wednesday,260,3,September,Fall,Wind,2,835
12/15/2022,Thursday,349,0,December,Winter,Wind,23,6899
10/9/2020,Friday,283,0,October,Fall,Wind,23,3168
2/24/2021,Wednesday,55,16,February,Winter,Wind,15,8802
5/6/2021,Thursday,126,17,May,Spring,Wind,16,8681
6/1/2021,Tuesday,152,2,June,Summer,Wind,1,5414
10/1/2021,Friday,274,15,October,Fall,Wind,14,9238
7/8/2020,Wednesday,190,10,July,Summer,Solar,9,3773
9/1/2021,Wednesday,244,11,September,Fall,Wind,10,7948
10/13/2021,Wednesday,286,15,October,Fall,Solar,14,5667
5/25/2021,Tuesday,145,16,May,Spring,Wind,15,14727
4/2/2022,Saturday,92,22,April,Spring,Wind,21,4888
12/8/2022,Thursday,342,6,December,Winter,Wind,5,1133
1/19/2021,Tuesday,19,0,January,Winter,Wind,23,11798
8/4/2020,Tuesday,217,14,August,Summer,Solar,13,5530
3/31/2022,Thursday,90,10,March,Spring,Wind,9,6521
10/23/2022,Sunday,296,21,October,Fall,Wind,20,13230
5/31/2021,Monday,151,2,May,Spring,Wind,1,4834
6/28/2020,Sunday,180,5,June,Summer,Wind,4,4460
4/4/2021,Sunday,94,2,April,Spring,Wind,1,7204
6/16/2020,Tuesday,168,7,June,Summer,Wind,6,1489
4/22/2022,Friday,112,16,April,Spring,Solar,15,7710
9/11/2021,Saturday,254,10,September,Fall,Solar,9,2694
12/22/2021,Wednesday,356,1,December,Winter,Wind,0,3062
8/18/2021,Wednesday,230,10,August,Summer,Wind,9,3248
1/11/2020,Saturday,11,3,January,Winter,Wind,2,1991
1/16/2021,Saturday,16,4,January,Winter,Wind,3,1881
7/15/2022,Friday,196,15,July,Summer,Solar,14,7804
8/12/2021,Thursday,224,21,August,Summer,Wind,20,1083
1/13/2020,Monday,13,7,January,Winter,Wind,6,2987
12/18/2021,Saturday,352,9,December,Winter,Wind,8,6383
4/12/2022,Tuesday,102,3,April,Spring,Wind,2,8588
4/3/2022,Sunday,93,14,April,Spring,Wind,13,7323
8/23/2020,Sunday,236,22,August,Summer,Wind,21,2568
6/28/2022,Tuesday,179,16,June,Summer,Solar,15,7443
7/25/2020,Saturday,207,23,July,Summer,Wind,22,4275
